TAM(Ordem da Matriz), CACHE-Friendly(ms), Tempo CACHE-Miss(ms)
250, 0.150, 0.155
500, 1.139, 1.372
750, 4.224, 5.456
1000, 7.484, 14.214
1250, 12.986, 16.287
1500, 16.882, 26.168
1750, 24.164, 41.456
2000, 31.398, 58.395
2250, 40.664, 60.819
2500, 57.505, 76.069
2750, 59.878, -120202.949
3000, 74.355, 149.589
3250, 84.591, 167.997
3500, 99.216, 195.242
3750, 113.367, 228.441
4000, 128.426, 261.143
4250, 146.431, 257.496
4500, 164.409, 120677.653
4750, 284.582, 464.796
5000, 220.337, 506.964
5250, 274.787, 513.580
5500, 262.422, 496.464
5750, -120030.290, 604.543
6000, 299.020, 657.098
6250, 330.635, 598.699
6500, 401.042, 656.305
6750, 394.712, 825.844
7000, 422.676, 970.974
7250, 450.135, 968.047
7500, 511.031, 1043.676
7750, 522.566, 1075.264
8000, 564.895, 1390.680
8250, 588.798, 1036.991
8500, 642.766, 1302.661
8750, 660.966, 1554.297
9000, 121072.223, -118439.008
9250, 985.429, 1566.274
9500, 872.266, 1634.341
9750, 848.697, 1837.660
10000, 871.350, 2085.417
10250, 1054.194, 1800.813
10500, 980.360, 2418.658
10750, 1121.829, 2383.474
11000, 1179.487, 4632.567
11250, 1210.941, 4897.490
11500, 1196.217, 5055.335
11750, 1238.446, 5241.393
12000, 1335.689, 5395.358
12250, 1321.582, 5591.672
12500, 1436.047, 6011.497
12750, 1604.749, 6127.751
13000, 1535.371, 6510.575
13250, 1635.876, 6985.086
13500, 1619.274, 7358.996
13750, 2087.011, 7301.612
14000, 2289.909, 8292.735
14250, 2251.840, -111979.553
14500, 1999.810, 8681.571
14750, -118147.000, 9142.116
15000, 2396.588, 8841.061
15250, 2262.093, 9346.087
15500, 2453.266, 9366.853
15750, 2467.756, 10049.315
16000, 2565.741, 10092.732
16250, -117564.923, 11274.958
16500, 2814.079, 10590.822
16750, 2872.250, 11055.235
17000, 2851.787, 11387.300
17250, 3064.960, 11834.631
17500, 2975.472, 13307.056
17750, 3525.637, 14610.185
18000, 3685.526, 14300.415
18250, 3428.214, 15928.621
18500, 3588.090, 16214.008
18750, 3888.152, 16599.584
19000, 4357.625, -103842.833
19250, 4226.191, 16505.099
19500, 4031.330, 15365.794
19750, 4245.204, 15995.701
20000, -116090.531, 16719.553
20250, 4551.261, 18309.359
20500, 4699.451, 18826.149
20750, -115595.088, -101411.293
21000, 4950.766, 19445.247
21250, 5024.660, -101235.691
21500, 5756.666, 20377.394
21750, 5587.836, 22401.245
22000, 5461.578, 21724.362
22250, 126033.775, 21789.310
22500, 5539.593, 22698.296
22750, 5666.159, 22624.368
23000, 6348.935, 23075.656
23250, 5979.912, 24405.781
23500, 126861.893, 24893.348
23750, 6725.893, 24251.236
24000, 7717.574, 23102.597
24250, -113308.671, 25324.453
24500, 7222.347, 26506.980
24750, 7302.218, 27306.758
25000, 7527.452, 28903.130
